Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161106,DV Wotton House [UK] (C) ^REM *NM,685552212,2,2,1.06,373,0,0,0,De Vere Wotton House
20161106,ETD Eastwood Hall Brand [UK] (S) ^KW ^RLSA-B *AD,159636514,2,0,0,0,0,0,0,Eastwood Hall
20161106,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,2,2,1.83,16,0,0,0,Principal
20161106,zZz HOR DV Horsley Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257114687,2,0,0,0,0,0,0,De Vere Horsley Estate
20161106,zZz ROY Royal York Brand [UK] (S) ^KW ^RLSA-B *AD,159522754,2,0,0,0,0,0,0,The Principal York
20161106,zZz THO DV Theobalds Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257116367,2,0,0,0,0,0,0,De Vere Theobalds Estate
20161107,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,2,0,0,0,0,0,0,De Vere Cranage Estate
20161107,DV Alexandra House General [UK] (S) ^KW *AD,685552230,2,2,4.29,385,0,0,0,De Vere Alexandra House
20161107,zZz GRG The George PH Brand + City [UK] (S) ^KW ^RLSA-B *AD,183673714,2,0,0,0,0,0,0,The Principal Edinburgh George…
20161107,zZz PAL The Palace Brand [UK] (S) ^KW ^RLSA-B *AD,160000354,2,0,0,0,0,0,0,The Principal Manchester
20161108,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,2,0,0,0,0,0,0,De Vere Cranage Estate
20161108,DV Latimer Estate General [UK] (S) ^KW ^RLSA-B *AD,692789743,2,2,5.69,44,0,0,0,De Vere Latimer Estate
20161108,SJO St. Johns Brand [UK] (S) ^KW ^RLSA-B *AD,159999154,2,0,0,0,0,0,0,The St Johns Hotel
20161108,zZz GCE Grand Central Brand [UK] (S) ^KW ^RLSA-B *AD,160000594,2,0,0,0,0,0,0,Grand Central Hotel
20161108,ZzZ Grand Central Hotel PH Brand + City [UK] (S) ^KW *AD,183673834,2,0,0,0,0,0,0,Grand Central Hotel
20161102,ALE Alexandra House Brand [UK] (S) ^KW ^RLSA-B *AD,159521674,1,0,0,0,0,0,0,De Vere Alexandra House
20161102,BRA De Vere Brand - Formerly Four Pillars [UK] (S) ^KW *AD,692634614,1,1,0.16,24,0,0,0,De Vere
20161102,DV Oxford Thames Brand [WW-UK] (S) ^KW *AD,685510703,1,1,0.51,27,0,0,0,De Vere Oxford Thames
20161102,DVD St. Davids Spa General [UK] (S) ^KW ^RLSA-B *AD,368007034,1,0,0,0,0,0,0,The St David's Hotel
20161102,PHB Principal Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692255215,1,1,0.98,25,0,0,0,Principal
20161102,SDG Sedgebrook Brand [UK] (S) ^KW ^RLSA-B *AD,159636154,1,0,0,0,0,0,0,Sedgebrook Hall
20161102,SJO St. Johns Brand [UK] (S) ^KW ^RLSA-B *AD,159999154,1,0,0,0,0,0,0,The St Johns Hotel
20161102,"zZz Denham Grove, Uxbridge Brand [UK] (S) ^KW ^RLSA-B *AD",257113967,1,0,0,0,0,0,0,Denham Grove
20161102,ZzZ Grand Central Hotel PH Brand + City [UK] (S) ^KW *AD,183673834,1,0,0,0,0,0,0,Grand Central Hotel
20161102,zZz GRG The George [UK] (C) ^REM *NM,159999754,1,1,0.1,101,0,0,0,The Principal Edinburgh George…
20161102,"zZz Hunton Park, Hertfordshire Brand [UK] (S) ^KW ^RLSA-B *AD",257114927,1,0,0,0,0,0,0,Hunton Park
20161102,"zZz MET Hotel, Leeds Brand [UK] (S) ^KW ^RLSA-B *AD",159522034,1,0,0,0,0,0,0,The Met Hotel
20161102,zZz PHB Brand [UK] (S) ^KW ^RLSA-B *AD,160001554,1,0,0,6,0,0,0,Principal
20161103,DRB Derbyshire Brand [UK] (S) ^KW ^RLSA-B *AD,159635794,1,0,0,0,0,0,0,The Derbyshire
20161103,DV Alexandra House General [UK] (S) ^KW *AD,685552230,1,1,1.13,200,0,0,0,De Vere Alexandra House
20161103,DV Beaumont Estate General [UK] (S) ^KW *AD,685552038,1,1,0.96,229,0,0,0,De Vere Beaumont Estate
20161103,DV Devonport House - All Visitors [UK] ^REM *NM,692789728,1,2,0.23,291,0,0,0,De Vere Devonport House
20161103,DV Selsdon Estate General [UK] (S) ^KW *AD,685552044,1,1,2.12,231,0,0,0,De Vere Selsdon Estate
20161103,DVD St. Davids Spa General [UK] (S) ^KW ^RLSA-B *AD,368007034,1,0,0,0,0,0,0,The St David's Hotel
20161103,DVD St. Davids Wedding [UK] (S) ^KW ^RLSA-B *AD,365823394,1,0,0,0,0,0,0,The St David's Hotel
20161103,HOR Horwood Brand [UK] (S) ^KW ^RLSA-B *AD,160014394,1,0,0,0,0,0,0,De Vere Horwood Estate
20161103,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,1,1,1.07,22,0,0,0,Principal
20161103,ROX The Roxburghe Hotel Brand [UK] (S) ^KW *AD,259244434,1,0,0,0,0,0,0,The Roxburghe
20161103,WOT Wotton Brand [UK] (S) ^KW ^RLSA-B *AD,160014274,1,0,0,0,0,0,0,De Vere Wotton House
20161103,"zZz Cheadle House, Cheadle Brand [UK] (S) ^KW ^RLSA-B *AD",281356247,1,0,0,0,0,0,0,Cheadle House
