unknown,8307507,TA,,,,
AIR CLUB CENTRUM PODROZYSTANISLAW MODLIN,36823554,TA,,,,
CWT RUSS LLC,5819258,TA,,,,
COMPAGNIE INTERNATIONALEWAGONLIT TRAVEL,26085819,TA,,,,
CWT RUSS LLC,5819258,TA,,,,
ELJAC ENTERPRISES INC.,38000802,TA,,,,
CRESTA WORLD TRAVEL LTD,1447925,TA,,,,
TBA Plc,2464154,TA,,,,
Expotel Leeds,698879,TA,,,,
Mon prochain seminaire,8458906,TA,,,,
Quatum Communications,32733551,TA,,,,
  ATP Event Experts,190313,TA,,,,
Harvey Thorneycroft Limited,1385336,TA,,,,
Fusion Meetings and Events,645753,TA,,,,
Synergy Event Solutions,3253573,TA,,,,
Abbey Tours Scotland,2321420,FIT,,,,
Synergy Event Solutions,3253573,TA,,,,
The Co-operative Travel management,22394559,TA,,,,
Platinum Events,464003,TA,,,,
Awesome Events,1631427,TA,,,,
CBA,456834,TA,,,,
Profile Productions,440523,TA,,,,
Sue Lancaster,38357552,TA,,,,
Conference Direct,5814010,TA,,,,
Crazy Cow Events,421106,TA,,,,
MAVERICK SOLUTIONS UK LTD,184976,TA,,,,
Start 2 Finish Event Management,844061,TA,,,,
Sundial SOS Meetings,169594,TA,,,,
HelmsBriscoe,2898964,TA,,,,
"Book o tel, Tim",416570,TA,,,,
"Book o tel, Tim",416570,TA,,,,
"Book o tel, Tim",416570,TA,,,,
Thomas Cook Sport,1179197,TA,,,,
Steel Events,5300351,TA,,,,
VR Venues & Events,419418,TA,,,,
Jigsaw Conferences Limited (NC),184969,TA,,,,
Atpi,4496708,TA,,,,
CC4000 Ltd,412614,TA,,,,
Atpi,4496708,TA,,,,
CC4000 Ltd,412614,TA,,,,
First Choice Conference and Events,2477895,TA,,,,
CI Events,6905698,TA,,,,
Optimum Event Solutions,201949,TA,,,,
Go Travel,16649052,TA,,,,
EML Event Management & Logistics Ltd,2552600,TA,,,,
Go Travel,16649052,TA,,,,
Vennu,185629,TA,,,,
KTS Events,741433,TA,,,,
SJ Events Consultancy,2254576,TA,,,,
Conference Shop,444455,TA,,,,
Pebble Events,2942792,TA,,,,
Worldspan Group,2563700,TA,,,,
Search Party,522634,TA,,,,
Jigsaw Conferences Limited (NC),184969,TA,,,,
S.J.International Destination Management,760203,TA,,,,
Morris Conferencing,196444,TA,,,,
ATP Event Experts,15461081,TA,,,,
ATP Event Experts,15461081,TA,,,,
Insurance Claims Accommodation Bureau (N,2215383,TA,,,,
Traveleads,185862,TA,,,,
Traveleads,185862,TA,,,,
Sundial SOS Meetings,169594,TA,,,,
The Tour Company,419604,TA,,,,
New Act Travel,745870,TA,,,,
New Act Travel,745870,TA,,,,
Party Experts Limited,2774287,TA,,,,
Party Experts Limited,2774287,TA,,,,
Party Experts Limited,2774287,TA,,,,
Stealth Solutions (NC),881565,TA,,,,
Worldwide DMC,5220136,TA,,,,
Veenus Ltd,170556,TA,,,,
Veenus Ltd,170556,TA,,,,
ESSENTIAL TRAVEL (UK) LTD,8226517,OTA,,,,
UNKONITO,28469554,TA,,,,
Vennu,185629,TA,,,,
BLUESKY EUROPE LTD,491773,TA,,,,
ZANNA EVENTS LTD.,2201084,TA,,,,
Book O Tel Ltd,16605552,TA,,,,
Venue Fixers,5487890,TA,,,,
AMERICAN EXPRESS VOYAGES,1546160,TA,,,,
HERTZ BILUTHYRNING FIRST RENT A CA,38088053,TA,,,,
FOX TOURS & TRAVEL INC.,7862471,TA,,,,
INCORPORATE VENUES LIMITED,450385,TA,,,,
WORLDTRAVEL BTI,1318052,TA,,,,
Book O Tel Ltd,16605552,TA,,,,
AB INITIO TRAVEL,494605,TA,,,,
CLARKE-WAY TRAVEL LTD.,5455667,TA,,,,
SAS INSTITUTE INC.,4339344,TA,,,,
PIPER AND ROSE      TRAVE,30971302,TA,,,,
ECHELON UK LTD,1247146,TA,,,,
Fusion Events Ltd,2932959,TA,,,,
CHOICE LOCATIONS LTD,184896,TA,,,,
F13 Events,19844070,TA,,,,
Event Works Europe,2693772,TA,,,,
Event Works Europe,2693772,TA,,,,
Event Works Europe,2693772,TA,,,,
faurecia,3223649,TA,,,,
NICE Ltd,184983,TA,,,,
NICE Ltd,184983,TA,,,,
Event Works Europe,2693772,TA,,,,
Double 2,1744758,TA,,,,
Creation Financial Services Ltd,434559,TA,,,,
Explore Global,35707801,TA,,,,
VENTURA SPA,768353,TA,,,,
BERG-HANSEN REISEBUREAU A/S,487133,TA,,,,
DER DEUTSCHES REISEBUEROGMBH & CO. OHG,37250815,TA,,,,
MEPTUR TURIZM A.S.,5496055,TA,,,,
HOGG ROBINSON GERMANY,5593021,TA,,,,
